"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude Channel From Roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Send Talker Alias","ARC4","ex_emg_kind"
"1","ABQ Local","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","ABQ Local","Group Call","713","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","ABQ Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"2","ABQ New Mexico","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","RMHAM New Mexico","Group Call","505","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","ABQ Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"3","ABQ Rk Mtn","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM New Mexico","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"4","ABQ South","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","ABQ Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"5","Akron North","448.17500","443.17500","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"6","Akron Rk Mtn","448.17500","443.17500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM North","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"7","Almagre Rk Mtn","446.95000","441.95000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM South","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"8","Almagre South","446.95000","441.95000","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM South","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"9","Badger Central","446.76250","441.76250","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"10","Badger Rk Mtn","446.76250","441.76250","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","100","100","0","0","0","0"
"11","Boulder LH Local","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Boulder Local","Group Call","723","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","9","2","RMHAM Eastern","Boulder Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"12","Boulder LH East","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Eastern","Group Call","705","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","9","1","RMHAM Eastern","Eastern","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"13","Boulder North","446.98750","441.98750","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"14","Boulder Rk Mtn","446.98750","441.98750","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM North","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"15","Breck Central","445.08750","440.08750","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"16","Breck Rk Mtn","445.08750","440.08750","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"17","Buckhorn North","445.20000","440.20000","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"18","Buckhorn RkyMtn","445.20000","440.20000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM North","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"19","Burlington Cntrl","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"20","Burlington RkMtn","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"21","Canon Rk Mtn","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM South","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"22","Canon South","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM South","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"23","Chey Mtn Rky Mtn","445.06250","440.06250","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM South","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"24","Chey Mtn South","445.06250","440.06250","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM South","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"25","CSU Local","446.76250","441.76250","D-Digital","High","12.5K","Off","Off","CSU Local","Group Call","722","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","8","1","RMHAM North","CSU Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"26","CSU North","446.76250","441.76250","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","8","2","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"27","Devils Local","446.92500","441.92500","D-Digital","High","12.5K","Off","Off","Devils Local","Group Call","711","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","8","2","RMHAM South","Devils Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"28","Devils South","446.92500","441.92500","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","8","1","RMHAM South","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"29","Durango 4Corners","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","RMHAMFourCorners","Group Call","745","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM 4 Corners","Four Corners","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"30","Durango NM","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","RMHAM New Mexico","Group Call","505","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM 4 Corners","RMHAM NM","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"31","Durango Rk Mtn","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","1","RMHAM 4 Corners","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"32","Durango South","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM 4 Corners","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"33","Farmington 4Cor","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","RMHAMFourCorners","Group Call","745","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM 4 Corners","Four Corners","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"34","Farmington NM","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","RMHAM New Mexico","Group Call","505","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM 4 Corners","RMHAM NM","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"35","Farmington RkMtn","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","1","RMHAM 4 Corners","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"36","Farmington South","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM 4 Corners","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"37","Ft Morgan North","448.20000","443.20000","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"38","Ft Morgan Rk Mtn","448.20000","443.20000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM North","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"39","Grnd Jnctn Cntrl","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","5","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"40","Grnd Jnctn RkMtn","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","5","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"41","Holyoke RkMtn","445.16250","440.16250","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM North","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"42","Holyoke North","445.16250","440.16250","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"43","Karval RkMtn","445.12500","440.12500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM South","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"44","Karval South","445.12500","440.12500","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM South","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"45","Leadville Centra","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"46","Leadville Rk Mtn","445.05000","440.05000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"47","Limon Central","445.27500","441.25700","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"48","Limon RkMtn","445.27500","441.27500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"49","Limon B North","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","9","1","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"50","Limon B South","446.73750","441.73750","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","9","2","RMHAM South","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"51","Lookout Central","446.83750","441.83750","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"52","Lookout Local","446.83750","441.83750","D-Digital","High","12.5K","Off","Off","Lookout Local","Group Call","710","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Lookout Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"53","Los Alamos Local","442.22500","447.22500","D-Digital","High","12.5K","Off","Off","Los Alamos Local","Group Call","714","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","Los Alamos Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"54","Los Alamos NMex","442.22500","447.22500","D-Digital","High","12.5K","Off","Off","RMHAM New Mexico","Group Call","505","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","Los Alamos Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"55","Los Alamos RkMtn","442.22500","447.22500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM New Mexico","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"56","Los Alamos South","442.22500","447.22500","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","Los Alamos Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"57","Mission 4Corners","445.13750","440.13750","D-Digital","High","12.5K","Off","Off","RMHAMFourCorners","Group Call","745","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM 4 Corners","Four Corners","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"58","Mission NM","445.13750","440.13750","D-Digital","High","12.5K","Off","Off","RMHAM New Mexico","Group Call","505","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM 4 Corners","RMHAM NM","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"59","Mission Rk Mtn","445.13750","440.13750","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM 4 Corners","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
